"Tamano","Temperatura","Proteinas","Oxigeno","LnProteinas","LnTamano"
7.5,13.8,65.9,2.8,4.18813844150846,2.01490302054226
5.8,13.8,20.3,2.8,3.01062088604774,1.75785791755237
8,13.8,136.6,2.8,4.91705694713669,2.07944154167984
8,13.8,70.5,2.8,4.25561270981822,2.07944154167984
10,13.8,117.8,2.8,4.76898827121749,2.30258509299405
10.4,13.8,119.7,2.8,4.78498861256393,2.34180580614733
7.5,13.8,68.2,2.8,4.22244456484942,2.01490302054226
10.2,13.8,98,2.8,4.58496747867057,2.32238772029023
9.5,13.8,78.9,2.8,4.36818122785183,2.2512917986065
4.6,13.8,18.7,2.8,2.92852352386054,1.52605630349505
9,13.8,86.8,2.8,4.4636066216663,2.19722457733622
9.8,13.8,82,2.8,4.40671924726425,2.28238238567653
11,13.8,184.4,2.8,5.21710731112249,2.39789527279837
11.2,13.8,113.7,2.8,4.73356340075649,2.41591377830105
12.2,13.8,336.3,2.8,5.81800361874622,2.50143595173921
14.4,13.8,281.9,2.8,5.64155239812007,2.66722820658195
11,13.8,101.2,2.8,4.61709875685337,2.39789527279837
8.3,13.8,111,2.8,4.70953020131233,2.11625551480255
9.2,13.8,89.4,2.8,4.49312068217947,2.21920348405499
8,13.8,106.1,2.8,4.66438204561994,2.07944154167984
6.5,13.8,41.6,2.8,3.72810016726722,1.87180217690159
6.7,13.8,39.7,2.8,3.68135118769314,1.90210752639692
7.2,13.8,16.3,2.8,2.79116510781272,1.97408102602201
8.5,13.8,47.4,2.8,3.85862222870103,2.14006616349627
8,13.8,35.4,2.8,3.56671182013973,2.07944154167984
5,14.1,5.1,2.4,1.62924053973028,1.6094379124341
2,14.1,2,2.4,0.693147180559945,0.693147180559945
2.7,14.1,1.5,2.4,0.405465108108164,0.993251773010283
13,14.1,428,2.4,6.0591231955818,2.56494935746154
14.7,14.1,435.3,2.4,6.07603544855825,2.68784749378469
9.5,14.1,27.2,2.4,3.30321697330195,2.2512917986065
13.8,14.1,294.3,2.4,5.68459965523943,2.62466859216316
13,14.1,113.1,2.4,4.72827238312207,2.56494935746154
13.4,14.1,141.6,2.4,4.95300618125962,2.59525470695687
12.2,14.1,76.2,2.4,4.3333614626926,2.50143595173921
10,14.1,55.7,2.4,4.01998014693324,2.30258509299405
13.7,14.1,195.7,2.4,5.27658287440203,2.61739583283408
11.2,14.1,104.7,2.4,4.65109911787649,2.41591377830105
11.1,14.1,82,2.4,4.40671924726425,2.40694510831829
12.2,14.1,69.4,2.4,4.23988686751276,2.50143595173921
13.8,14.1,120.2,2.4,4.78915702210111,2.62466859216316
9.5,14.1,35.5,2.4,3.56953269648137,2.2512917986065
13.8,14.1,133.8,2.4,4.89634614769413,2.62466859216316
8.6,16.2,20.2,2.9,3.00568260440716,2.15176220325946
11.5,16.2,97.9,2.9,4.58394654953646,2.4423470353692
9.3,16.2,42.8,2.9,3.75653810258775,2.23001440015921
12.4,16.2,118.6,2.9,4.77575648656363,2.51769647261099
11.7,16.2,41.8,2.9,3.73289633953071,2.45958884180371
11.2,16.2,86.2,2.9,4.45667017766965,2.41591377830105
11.8,16.2,35.8,2.9,3.57794789340665,2.46809953147162
13.2,16.2,65.6,2.9,4.18357569595004,2.58021682959233
11.6,16.2,48.9,2.9,3.88977739648083,2.45100509811232
12.2,16.2,55.4,2.9,4.01457959375324,2.50143595173921
12,16.2,116.9,2.9,4.76131886847802,2.484906649788
10.2,16.2,33.6,2.9,3.51452606696916,2.32238772029023
11.8,16.2,48.9,2.9,3.88977739648083,2.46809953147162
12.8,16.2,47.2,2.9,3.85439389259151,2.54944517092557
14,16.2,110.6,2.9,4.70592008908823,2.63905732961526
12.7,16.2,123,2.9,4.81218435537242,2.54160199346455
12.5,16.2,122.2,2.9,4.8056590467375,2.52572864430826
11.2,16.2,81.4,2.9,4.39937527300849,2.41591377830105
12.5,16.2,113.1,2.9,4.72827238312207,2.52572864430826
9.3,16.2,29.4,2.9,3.38099467434464,2.23001440015921
13,16.2,101.2,2.9,4.61709875685337,2.56494935746154
10,16.2,45.7,2.9,3.82209829790016,2.30258509299405
9,16.2,36.7,2.9,3.60277675506052,2.19722457733622
11.5,16.2,50.4,2.9,3.91999117507732,2.4423470353692
11.5,16.2,123,2.9,4.81218435537242,2.4423470353692
