"Longitud","Diametro","Altura","PesoTotal","Pesodesvainado","Pesovisceras","Pesocorteza"
0.53,0.42,0.135,0.677,0.2565,0.1415,0.21
0.53,0.415,0.15,0.7775,0.237,0.1415,0.33
0.545,0.425,0.125,0.768,0.294,0.1495,0.26
0.55,0.44,0.15,0.8945,0.3145,0.151,0.32
0.525,0.38,0.14,0.6065,0.194,0.1475,0.21
0.535,0.405,0.145,0.6845,0.2725,0.171,0.205
0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185
0.44,0.34,0.1,0.451,0.188,0.087,0.13
0.565,0.44,0.155,0.9395,0.4275,0.214,0.27
0.55,0.415,0.135,0.7635,0.318,0.21,0.2
0.615,0.48,0.165,1.1615,0.513,0.301,0.305
0.56,0.44,0.14,0.9285,0.3825,0.188,0.3
0.58,0.45,0.185,0.9955,0.3945,0.272,0.285
0.68,0.56,0.165,1.639,0.6055,0.2805,0.46
0.68,0.55,0.175,1.798,0.815,0.3925,0.455
0.705,0.55,0.2,1.7095,0.633,0.4115,0.49
0.54,0.475,0.155,1.217,0.5305,0.3075,0.34
0.45,0.355,0.105,0.5225,0.237,0.1165,0.145
0.575,0.445,0.135,0.883,0.381,0.2035,0.26
0.45,0.335,0.105,0.425,0.1865,0.091,0.115
0.55,0.425,0.135,0.8515,0.362,0.196,0.27
0.46,0.375,0.12,0.4605,0.1775,0.11,0.15
0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245
0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15
0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22
0.505,0.4,0.125,0.583,0.246,0.13,0.175
0.53,0.41,0.13,0.6965,0.302,0.1935,0.2
0.565,0.44,0.16,0.915,0.354,0.1935,0.32
0.595,0.495,0.185,1.285,0.416,0.224,0.485
0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17
