"CrecPobl","MortInf","PorcMujeres","PNB95","ProdElec","LinTelf","ConsAgua","PropBosq","PropDefor","ConsEner","EmisCO2"
1,30,41,2199,3903,12,94,53,0,341,1.2
3,124,46,4422,955,6,57,19,0.7,89,0.5
4.3,21,13,133540,91019,96,497,1,0,4566,13.1
2.5,34,24,44609,19883,42,180,2,0.8,906,3
1.3,22,31,278431,65962,160,1043,22,0.1,1504,3.5
1.4,6,43,337909,167155,510,933,19,0,5341,15.3
0.6,6,41,216547,53259,465,304,47,-0.4,3301,7.2
2,79,42,28599,9891,2,220,6,4.1,64,0.2
0.3,8,40,250710,72236,457,917,20,-0.3,5120,10.1
3,95,48,2034,6,5,26,45,1.3,20,0.1
0.4,13,49,21356,31397,190,295,31,-0.4,2392,9.9
2.3,69,37,5905,2824,35,201,45,1.2,373,1
1.6,44,35,579787,260682,75,246,66,0.6,718,1.4
-0.6,15,48,11225,381333,335,1544,33,-0.2,2438,6.4
2.9,56,38,8615,2740,4,38,44,0.6,103,0.2
1.3,6,45,573695,554227,590,1602,49,-1.1,7854,14.4
1.8,26,37,70263,43354,100,174,52,0.7,622,1.8
3.1,90,43,1784,435,8,20,58,0.2,331,1.6
1.8,26,45,12870,38000,47,687,74,0,1129,11.2
0.9,10,40,435137,164993,415,632,66,0.1,2982,6.6
3.4,86,33,9248,2305,8,66,34,1,103,0.5
2.5,13,30,8884,4772,164,780,28,3,558,1.2
0.9,9,38,7150,10982,32,870,16,1,923,2.6
1.6,12,32,59151,25276,132,1626,12,-0.1,1012,2.6
1.3,34,45,744890,928083,34,461,13,0.7,664,2.3
0.2,6,46,156027,40097,613,233,12,0,3977,10.4
2,37,29,11390,6182,79,446,22,2.9,337,1.4
2.3,36,26,15997,8256,61,581,43,1.8,565,1.8
2.2,56,29,45507,51947,46,956,0,0,600,1.5
1.8,36,34,9057,3211,53,245,6,2.3,370,0.7
5.8,16,13,42806,18870,283,884,0,0,10531,33.9
0.3,11,48,15848,24740,208,337,38,0.1,3243,7
0.2,7,36,532347,161654,385,781,51,0,2458,5.7
2.6,112,41,5722,1293,2,51,13,0.3,22,0.1
2.3,39,37,71865,27062,21,686,26,3.4,316,0.8
0.4,5,48,105174,65546,550,440,77,0,5997,8.2
0.5,6,44,1451051,476200,558,665,25,-0.1,4042,6.3
2.9,89,44,3759,933,30,57,71,0.6,652,5.5
3,73,51,6719,6115,4,35,42,1.4,93,0.2
0.5,8,36,85885,40623,493,523,47,0,2260,7.2
2.9,44,26,14255,3161,27,139,39,1.8,210,0.6
2,72,43,1777,362,8,7,1,5.1,29,0.1
0.6,6,40,371039,79647,525,518,10,-0.3,4580,9.2
3,45,30,3566,2672,29,294,41,2.2,204,0.6
-0.3,11,44,42129,33486,185,661,18,-0.5,2383,5.8
