FECHA,CO,NO,NO2,NOX,O3,PM10,SO2
01/01/2021,0.5,3,30,33,12,42,2
01/01/2021,0.48,2,26,28,13,58,3
01/01/2021,0.6,3,32,35,6,59,2
01/01/2021,0.61,5,33,38,4,64,2
01/01/2021,0.63,5,32,37,4,67,2
01/01/2021,0.67,7,29,36,3,52,2
01/01/2021,0.53,4,27,31,4,49,1
01/01/2021,0.51,5,24,29,7,45,1
01/01/2021,0.6,11,21,33,17,56,2
01/01/2021,0.61,11,25,36,33,64,2
01/01/2021,0.59,8,26,33,52,65,2
01/01/2021,0.31,4,18,22,56,41,2
01/01/2021,0.2,3,13,16,62,26,2
01/01/2021,0.07,1,7,8,62,31,1
01/01/2021,0.08,0,4,4,52,16,1
01/01/2021,0.05,0,4,4,47,-99,1
01/01/2021,0.09,1,6,7,46,24,1
01/01/2021,0.09,1,7,7,43,25,1
01/01/2021,0.17,0,11,11,36,24,1
01/01/2021,0.28,2,17,19,31,31,1
01/01/2021,0.5,2,31,33,22,56,2
01/01/2021,0.67,2,43,44,11,46,2
01/01/2021,0.61,2,39,41,13,43,2
01/01/2021,0.62,3,41,44,10,43,2
02/01/2021,-99,-99,-99,-99,-99,45,-99
02/01/2021,-99,-99,-99,-99,-99,50,-99
02/01/2021,-99,-99,-99,-99,-99,35,-99
02/01/2021,0.49,4,31,35,6,41,1
02/01/2021,0.45,18,32,50,3,47,2
02/01/2021,0.38,9,31,41,4,44,1
02/01/2021,0.53,26,32,58,2,33,2
02/01/2021,0.96,86,34,119,2,41,3
02/01/2021,0.88,73,34,107,7,48,3
02/01/2021,0.72,39,39,79,19,56,4
02/01/2021,0.79,47,48,95,27,75,6
02/01/2021,0.65,26,38,64,37,62,5
02/01/2021,0.46,13,29,42,47,49,3
02/01/2021,0.19,5,18,23,56,32,2
02/01/2021,0.17,4,16,20,66,32,2
02/01/2021,0.22,6,18,24,72,34,2
02/01/2021,0.25,3,21,24,75,32,2
02/01/2021,0.26,2,22,24,64,53,2
02/01/2021,0.43,3,32,35,39,75,2
02/01/2021,0.55,2,38,40,27,72,2
02/01/2021,0.68,9,45,54,16,68,3
02/01/2021,0.98,31,54,85,6,65,3
02/01/2021,0.93,18,52,70,4,60,19
02/01/2021,0.72,11,47,59,8,48,22
03/01/2021,1.05,33,48,81,3,57,13
03/01/2021,0.69,19,43,62,3,49,10
03/01/2021,0.38,1,28,29,12,40,6
03/01/2021,0.4,3,32,34,8,39,5
03/01/2021,0.35,2,27,28,10,30,3
03/01/2021,0.39,5,29,34,7,27,2
03/01/2021,0.45,9,30,39,6,18,2
03/01/2021,1.05,72,34,106,2,38,3
03/01/2021,0.87,51,32,83,8,36,2
03/01/2021,0.71,30,37,67,23,38,2
03/01/2021,0.77,22,43,65,36,51,3
03/01/2021,0.71,18,39,57,47,46,2
03/01/2021,0.38,9,27,36,55,33,2
03/01/2021,0.32,7,23,30,58,28,2
03/01/2021,0.25,4,17,21,68,-99,2
03/01/2021,0.09,2,11,12,56,19,1
03/01/2021,0.06,1,8,10,43,22,1
