date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,Class
2020-01-01,1.44375,1.0,1.1,1.8,12.0,38.22916666666666,28.14364583333333,701.0083333333333,0.0,85.66536458333333,4.4,0.023125,12.009583333333332,7.0875,224.54166666666663,0
2020-01-02,1.2591666666666663,1.0,1.1,1.8,12.0,20.578125,6.0711458333333335,694.6791666666667,0.0,50.375,4.4,0.1082916666666666,17.517916666666668,12.058333333333332,274.5,0
2020-01-03,1.1933333333333334,1.0,1.1,1.8,6.291666428248088,25.666666666666668,6.06375,701.8458333333333,0.0,37.625,4.4,0.1214166666666666,16.195,15.358333333333334,273.0,0
2020-01-04,1.4487500000000002,1.0,1.1,1.8,5.000000238418565,37.75,22.345,709.8958333333334,0.0,39.083333333333336,4.4,0.1636666666666666,14.078333333333331,5.675,197.33333333333331,0
2020-01-05,1.7279166666666663,1.0,1.1,1.8,5.000000000000014,66.95833333333333,40.44265625,708.5875,0.0,44.79166666666666,4.4,0.163375,14.599583333333332,5.954166666666667,228.33333333333331,1
2020-01-06,1.5329166666666667,1.0,1.1,1.8,5.0,70.0,36.12611979166667,704.3541666666666,0.0,37.79166666666666,4.4,0.1576666666666666,17.679583333333333,6.254166666666666,232.66666666666663,1
2020-01-07,1.45625,1.0,1.1,1.8,5.0,72.20833333333333,27.98958333333333,709.3458333333333,0.0,40.083333333333336,4.4,0.155375,15.005833333333332,8.366666666666667,171.125,0
2020-01-08,1.4533333333333334,1.0,1.1,1.8,5.0,61.5,31.170416666666668,705.6166666666667,0.0,65.125,4.4,0.127875,14.003333333333332,7.808333333333334,122.04166666666669,1
2020-01-09,1.76625,1.0,1.1,1.8,5.0,92.875,44.26748697916667,700.6083333333332,0.0,59.875,4.4,0.148375,18.25958333333333,5.2250000000000005,178.20833333333334,1
2020-01-10,1.9441666666666664,1.0,1.1,1.8,5.0,105.28792317708331,32.88188802083334,696.4166666666666,0.0,60.583333333333336,4.4,0.117625,19.254583333333333,5.522916666666667,180.16666666666663,1
2020-01-11,1.2975,1.0,1.1,1.8,5.0,57.125,11.945833333333333,703.4541666666668,0.0,19.58333333333333,4.4,0.1703333333333333,18.39875,15.3625,236.3125,0
2020-01-12,1.649166666666667,1.0,1.1,1.8,5.0,63.54166666666666,34.5547265625,703.5958333333333,0.0,35.375,4.4,0.1519166666666666,14.49875,3.845833333333333,158.70833333333334,1
2020-01-13,2.049583333333333,1.0,1.1,1.8,5.0,96.0,46.4365625,703.8166666666666,0.0,52.91666666666666,4.4,0.0790416666666666,16.351666666666667,2.4109375,251.20833333333331,1
2020-01-14,1.89,1.0,1.1,1.8,5.0,112.59375,53.3255908203125,703.0791666666668,0.0,54.79166666666666,4.4,0.1391666666666666,18.656666666666663,3.9625,200.58333333333331,1
2020-01-15,2.05125,1.0,1.1,1.8,5.0,123.92708333333331,52.182476321458815,702.2041666666668,0.0,75.375,4.4,0.0818333333333333,18.204166666666666,3.1281250000000003,176.70833333333334,1
2020-01-16,1.615,1.0,1.1,1.8,5.0,52.208333333333336,28.98538045247396,704.2083333333334,0.0,79.54166666666667,4.4,0.0387083333333333,19.38,8.316666666666666,107.66666666666669,0
2020-01-17,1.4270833333333333,1.0,1.1,1.8,5.0,22.83333333333333,18.54067708333333,704.0958333333333,0.0,84.95833333333333,4.4,0.0489999999999999,18.46375,10.358333333333333,107.54166666666669,0
