date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,Class
2020-01-01,3.24,88.24583333333334,3.106510416666667,91.10833333333332,44.0,28.25,26.0,721.2000000000002,0.0,1.7080078125,10.9375,0.3244166666666666,16.93,13.433333333333332,28.041666666666668,0
2020-01-02,3.24,80.04166666666667,3.0625,82.925,44.0,32.583333333333336,26.0,721.2000000000002,0.0,71.00000017881393,11.35,0.32325,16.93,7.337475585937501,150.25,0
2020-01-03,3.24,86.03333333333335,3.0708333333333333,88.93333333333334,44.0,55.5,26.0,721.2000000000002,0.0,73.99999982118608,11.502083333333331,0.2885416666666666,16.93,3.64583336909612,314.5,0
2020-01-04,3.24,87.12916666666666,2.975,90.0,44.0,47.625,26.0,721.2000000000002,0.0,73.99999999999999,11.683333333333332,0.2863333333333333,16.93,3.9999999642372153,334.125,0
2020-01-05,3.24,86.15416666666665,3.0583333333333336,89.03333333333335,44.0,69.83333333333333,26.0,721.2000000000002,0.0,74.0,12.408333333333331,0.2644583333333333,16.93,3.999999999999998,330.125,0
2020-01-06,3.24,86.75416666666666,2.9791666666666665,89.62083333333334,44.0,82.78125,26.0,721.2000000000002,0.0,74.0,14.177083333333334,0.2523333333333333,16.93,4.0,330.4583333333333,0
2020-01-07,3.24,92.525,3.033333333333333,95.40833333333336,44.0,35.125,26.0,721.2000000000002,0.0,74.0,12.6875,0.2729583333333333,16.93,3.223990885416667,310.9583333333333,0
2020-01-08,3.24,94.77916666666664,2.9791666666666665,97.60416666666669,44.0,44.54166666666666,26.0,721.2000000000002,0.0,74.0,12.811979166666667,0.28375,16.93,0.9010091145231854,326.125,0
2020-01-09,3.24,93.37083333333334,3.0666666666666664,96.24583333333334,44.0,75.83333333333333,26.0,721.2000000000002,0.0,74.0,12.608333333333334,0.3540833333333333,16.93,2.758235677143467,282.75,0
2020-01-10,3.24,91.375,3.016666666666667,94.25416666666666,44.0,89.14583333333333,26.0,721.2000000000002,0.0,74.0,12.825,0.3269583333333333,16.93,8.460561068852742,322.125,0
2020-01-11,3.24,94.14583333333331,2.975,97.32916666666668,44.0,41.29166666666666,26.0,721.2000000000002,0.0,74.0,12.041666666666666,0.2845833333333333,16.93,10.89995422363554,324.375,0
2020-01-12,3.24,95.35625,3.0666666666666664,98.35416666666669,44.0,60.520833333333336,26.0,721.2000000000002,0.0,74.0,13.19375,0.2854583333333333,16.93,10.899999999997272,325.9583333333333,0
2020-01-13,3.24,92.2125,3.0541666666666667,95.4875,44.0,106.89583333333331,26.0,721.2000000000002,0.0,74.0,14.780891927083331,0.2707083333333333,16.93,10.9,333.875,0
2020-01-14,3.24,88.7375,3.1,91.61666666666667,44.0,114.33333333333331,26.0,721.2000000000002,0.0,74.0,15.31875,0.2591666666666666,16.93,10.9,332.5,0
2020-01-15,3.24,90.77083333333331,3.0875000000000004,93.62916666666666,44.0,96.77083333333331,26.0,721.2000000000002,0.0,74.0,12.316666666666668,0.2952083333333333,16.93,10.9,331.1979166666667,0
2020-01-16,3.24,78.92916666666666,3.045833333333333,81.8125,44.0,42.583333333333336,26.0,721.2000000000002,0.0,74.0,11.463020833333331,0.3252083333333333,16.93,7.469026692708334,254.33333333333331,0
2020-01-17,3.24,78.80416666666666,3.1041666666666665,81.71666666666667,44.0,16.708333333333332,26.0,721.2000000000002,0.0,74.0,11.370833333333332,0.3324166666666666,16.93,3.401182174682617,267.7291666666667,0
2020-01-18,3.24,82.6875,2.9791666666666665,85.55,44.0,25.375,26.0,721.2000000000002,0.0,74.0,11.629166666666668,0.3386666666666666,16.93,4.716031901041666,168.16666666666666,0
2020-01-19,3.24,97.55065104166664,3.0875000000000004,100.42565104166664,44.0,19.580729166666668,26.0,721.2000000000002,0.0,74.0,11.731380208333334,0.2449166666666666,16.93,0.1004272460682841,328.3717447916667,0
2020-01-20,3.24,96.74102032979329,3.0416666666666665,99.57435366312662,44.0,24.25260162353516,26.0,721.2000000000002,0.0,74.0,12.800911585489908,0.1728333333333333,16.93,0.1000000000254658,328.29491869608563,0
2020-01-21,3.24,108.193359375,3.029166666666667,112.3375,44.0,24.541666666666668,26.0,721.2000000000002,0.0,74.0,11.60625,0.3872916666666666,16.93,0.1125,281.625,0
2020-01-22,3.24,103.246875,3.1375,109.1625,44.0,41.875,26.0,721.2000000000002,0.0,74.0,11.791666666666666,0.3909583333333333,16.93,5.3205078125,141.58333333333334,0
2020-01-23,3.24,85.76041666666667,3.0625,89.2,44.0,58.29166666666666,26.0,721.2000000000002,0.0,74.0,12.864583333333334,0.3047083333333333,16.93,3.0751057942708333,305.2291666666667,0
2020-01-24,3.24,77.78750000000001,3.1,80.63333333333334,44.0,35.979166666666664,26.0,721.2000000000002,0.0,74.0,12.43125,0.2420833333333333,16.93,2.3990885417209937,336.0833333333333,0
2020-01-25,3.24,77.15833333333333,3.1375,80.03750000000001,44.0,39.04166666666666,26.0,721.2000000000002,0.0,74.0,11.664583333333333,0.2838333333333333,16.93,6.775097656195676,305.6666666666667,0
2020-01-26,3.24,76.03333333333333,3.1875,78.89583333333333,44.0,58.41666666666666,26.0,721.2000000000002,0.0,74.0,11.9125,0.26275,16.93,18.195735677337503,343.25,0
2020-01-27,3.24,80.425,9.716666666666669,89.50416666666666,44.0,58.083333333333336,26.0,721.2000000000002,0.0,74.0,13.3875,0.2594583333333333,16.93,18.199999999745827,330.875,0
2020-01-28,3.24,85.32083333333334,15.885416666666666,99.87291666666664,44.0,36.72916666666666,26.0,721.2000000000002,0.0,74.0,11.975,0.3247083333333333,16.93,18.2,328.1041666666667,0
2020-01-29,3.24,91.18020833333333,18.258333333333333,108.49791666666664,44.0,54.75,26.0,721.2000000000002,0.0,74.0,13.279166666666669,0.3237083333333333,16.93,18.2,319.9166666666667,0
