date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2020-01-01 00:00:00,,,,,,,,,,,,0.0,,,
2020-01-01 01:00:00,,,,,,,,,0.0,,,0.0,,12.0,25.0
2020-01-01 02:00:00,,99.6,3.1,102.4,,41.0,,,0.0,2.0,11.0,0.374,,12.9,27.0
2020-01-01 03:00:00,,100.2,3.2,103.1,,30.0,,,0.0,2.0,11.0,0.381,,13.6,28.0
2020-01-01 04:00:00,,101.6,3.1,104.5,,25.0,,,0.0,2.0,11.4,0.385,,14.4,30.0
2020-01-01 05:00:00,,100.7,3.2,103.6,,23.0,,,0.0,2.0,10.9,0.386,,15.6,32.0
2020-01-01 06:00:00,,102.4,3.1,105.3,,18.0,,,0.0,2.0,10.9,0.386,,16.0,33.0
2020-01-01 07:00:00,,103.4,3.1,106.3,,13.0,,,0.0,2.0,,0.384,,16.4,34.0
2020-01-01 08:00:00,,103.7,,106.5,,13.0,,,0.0,2.0,11.0,0.384,,17.3,36.0
2020-01-01 09:00:00,,105.9,,108.7,,9.0,,,0.0,,10.6,0.423,,13.3,27.0
2020-01-01 10:00:00,,95.7,,98.5,,8.0,,,0.0,,10.8,0.387,,10.4,21.0
2020-01-01 11:00:00,,73.3,3.2,76.2,,29.0,,,0.0,,10.8,0.311,,9.5,20.0
2020-01-01 12:00:00,,79.5,3.1,82.4,,25.0,,,0.0,,11.2,0.337,,12.9,27.0
2020-01-01 13:00:00,,74.7,3.1,77.6,,65.0,,,0.0,,11.1,0.345,,16.2,34.0
2020-01-01 14:00:00,,74.6,,77.5,,66.0,,,0.0,,11.0,0.316,,9.7,20.0
2020-01-01 15:00:00,,72.8,3.2,75.8,,46.0,,,0.0,,11.1,0.317,,10.4,22.0
2020-01-01 16:00:00,,72.4,3.0,75.2,,29.0,,,0.0,1.0,11.0,0.305,,9.1,19.0
2020-01-01 17:00:00,,79.1,3.1,82.0,,13.0,,,0.0,2.0,10.9,0.319,,9.4,20.0
2020-01-01 18:00:00,,76.9,3.1,79.7,,13.0,,,0.0,2.0,10.9,0.315,,10.2,21.0
2020-01-01 19:00:00,,83.8,,86.7,,24.0,,,0.0,2.0,,0.337,,15.2,32.0
2020-01-01 20:00:00,,75.0,,77.9,,31.0,,,0.0,2.0,10.6,0.336,,14.9,31.0
2020-01-01 21:00:00,,83.2,,86.0,,19.0,,,0.0,2.0,11.0,0.348,,17.0,35.0
2020-01-01 22:00:00,,84.4,,87.3,,38.0,,,0.0,2.0,11.0,0.36,,19.0,39.0
2020-01-01 23:00:00,,75.8,3.0,78.6,,18.0,,,0.0,2.0,10.6,0.35,,17.0,35.0
2020-01-02 00:00:00,,85.8,3.2,88.7,,17.0,,,0.0,,10.7,0.376,,20.9,43.0
2020-01-02 01:00:00,,84.6,3.1,87.5,,21.0,,,0.0,,10.5,0.384,,21.5,44.0
2020-01-02 02:00:00,,79.8,3.2,82.7,,6.0,,,0.0,,10.7,0.409,,15.8,33.0
2020-01-02 03:00:00,,85.2,3.1,88.1,,24.0,,,0.0,,10.7,0.398,,19.5,40.0
2020-01-02 04:00:00,,78.1,3.0,81.0,,26.0,,,0.0,,10.6,0.394,,13.8,29.0
2020-01-02 05:00:00,,89.7,3.2,92.6,,7.0,,,0.0,,10.6,0.403,,13.4,28.0
2020-01-02 06:00:00,,91.7,3.1,94.6,,8.0,,,0.0,,11.0,0.385,,12.1,25.0
2020-01-02 07:00:00,,90.5,3.1,93.3,,7.0,,,0.0,,11.1,0.375,,10.3,21.0
2020-01-02 08:00:00,,91.3,2.9,94.2,,6.0,,,0.0,,11.2,0.383,,8.3,17.0
2020-01-02 09:00:00,,89.8,2.8,92.6,,20.0,,,0.0,,11.7,0.367,,12.9,27.0
2020-01-02 10:00:00,,83.4,3.0,86.2,,29.0,,,0.0,,11.2,0.358,,15.9,33.0
2020-01-02 11:00:00,,75.8,3.1,78.7,,27.0,,,0.0,,11.0,0.35,,16.1,33.0
2020-01-02 12:00:00,,72.7,3.1,75.6,,21.0,,,0.0,,11.6,0.285,,6.3,13.0
2020-01-02 13:00:00,,71.4,2.9,74.3,,27.0,,,0.0,,11.6,0.27,,0.6,2.0
2020-01-02 14:00:00,,69.1,2.8,71.9,,32.0,,,0.0,,11.4,0.262,,,360.0
2020-01-02 15:00:00,,69.4,2.8,72.2,,31.0,,,0.0,,11.1,0.254,,,358.0
2020-01-02 16:00:00,,66.7,3.2,69.7,,25.0,,,0.0,,12.8,0.239,,,358.0
2020-01-02 17:00:00,,67.2,3.1,70.0,,20.0,,,0.0,,13.1,0.239,,,359.0
2020-01-02 18:00:00,,69.7,3.1,72.6,,23.0,,,0.0,,11.9,0.246,,,357.0
2020-01-02 19:00:00,,74.8,3.2,77.8,,41.0,,,0.0,,11.5,0.258,,,357.0
2020-01-02 20:00:00,,79.8,3.1,82.7,,90.0,,,0.0,,11.2,0.268,,,355.0
2020-01-02 21:00:00,,84.0,3.1,86.9,,52.0,,,0.0,,11.5,0.276,,,356.0
2020-01-02 22:00:00,,84.7,3.2,87.6,,82.0,,,0.0,,11.9,0.283,,,357.0
2020-01-02 23:00:00,,85.8,3.1,88.7,,140.0,,,0.0,,11.8,0.296,,0.3,1.0
2020-01-03 00:00:00,,89.1,3.1,91.9,,141.0,,,0.0,,11.9,0.314,,2.7,6.0
2020-01-03 01:00:00,,83.9,2.9,86.8,,134.0,,,0.0,,11.6,0.294,,0.4,1.0
2020-01-03 02:00:00,,93.5,3.2,96.5,,87.0,,,0.0,,11.4,0.301,,,354.0
2020-01-03 03:00:00,,84.8,3.2,87.7,,31.0,,,0.0,,13.4,0.279,,,354.0
2020-01-03 04:00:00,,94.0,3.1,96.9,,30.0,,,0.0,,12.5,0.315,,,346.0
2020-01-03 05:00:00,,97.3,3.2,100.3,,43.0,,,0.0,,11.4,0.324,,,346.0
2020-01-03 06:00:00,,95.8,3.2,98.8,,54.0,,,0.0,,11.4,0.31,,,354.0
2020-01-03 07:00:00,,93.1,2.9,96.0,,71.0,,,0.0,,,0.307,,,354.0
2020-01-03 08:00:00,,92.5,3.0,95.3,,73.0,,,0.0,,11.7,0.312,,,355.0
2020-01-03 09:00:00,,91.3,3.2,94.3,,82.0,,,0.0,,11.6,0.302,,,351.0
2020-01-03 10:00:00,,82.3,3.1,85.2,,75.0,,,0.0,,11.1,0.282,,,343.0
