date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2020-01-01 00:00:00,3.24,99.6,3.1,102.4,44.0,41.0,26.0,721.2,0.0,2.0,11.0,0.0,16.93,12.0,25.0
2020-01-01 01:00:00,3.24,99.6,3.1,102.4,44.0,41.0,26.0,721.2,0.0,2.0,11.0,0.0,16.93,12.0,25.0
2020-01-01 02:00:00,3.24,99.6,3.1,102.4,44.0,41.0,26.0,721.2,0.0,2.0,11.0,0.374,16.93,12.9,27.0
2020-01-01 03:00:00,3.24,100.2,3.2,103.1,44.0,30.0,26.0,721.2,0.0,2.0,11.0,0.381,16.93,13.6,28.0
2020-01-01 04:00:00,3.24,101.6,3.1,104.5,44.0,25.0,26.0,721.2,0.0,2.0,11.4,0.385,16.93,14.4,30.0
2020-01-01 05:00:00,3.24,100.7,3.2,103.6,44.0,23.0,26.0,721.2,0.0,2.0,10.9,0.386,16.93,15.6,32.0
2020-01-01 06:00:00,3.24,102.4,3.1,105.3,44.0,18.0,26.0,721.2,0.0,2.0,10.9,0.386,16.93,16.0,33.0
2020-01-01 07:00:00,3.24,103.4,3.1,106.3,44.0,13.0,26.0,721.2,0.0,2.0,10.95,0.384,16.93,16.4,34.0
2020-01-01 08:00:00,3.24,103.7,3.1500000000000004,106.5,44.0,13.0,26.0,721.2,0.0,2.0,11.0,0.384,16.93,17.3,36.0
2020-01-01 09:00:00,3.24,105.9,3.1750000000000003,108.7,44.0,9.0,26.0,721.2,0.0,1.5,10.6,0.423,16.93,13.3,27.0
2020-01-01 10:00:00,3.24,95.7,3.1875,98.5,44.0,8.0,26.0,721.2,0.0,1.25,10.8,0.387,16.93,10.4,21.0
2020-01-01 11:00:00,3.24,73.3,3.2,76.2,44.0,29.0,26.0,721.2,0.0,1.125,10.8,0.311,16.93,9.5,20.0
2020-01-01 12:00:00,3.24,79.5,3.1,82.4,44.0,25.0,26.0,721.2,0.0,1.0625,11.2,0.337,16.93,12.9,27.0
2020-01-01 13:00:00,3.24,74.7,3.1,77.6,44.0,65.0,26.0,721.2,0.0,1.03125,11.1,0.345,16.93,16.2,34.0
2020-01-01 14:00:00,3.24,74.6,3.1500000000000004,77.5,44.0,66.0,26.0,721.2,0.0,1.015625,11.0,0.316,16.93,9.7,20.0
2020-01-01 15:00:00,3.24,72.8,3.2,75.8,44.0,46.0,26.0,721.2,0.0,1.0078125,11.1,0.317,16.93,10.4,22.0
2020-01-01 16:00:00,3.24,72.4,3.0,75.2,44.0,29.0,26.0,721.2,0.0,1.0,11.0,0.305,16.93,9.1,19.0
