date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2020-01-01 00:00:00,2.11,5.4,2.7,4.4,19.0,66.0,36.47,735.7,0.0,96.0,5.4,0.0,11.2,8.1,352.0
2020-01-01 01:00:00,2.11,5.4,2.7,4.4,19.0,57.0,36.47,735.7,0.0,96.0,5.4,0.01,11.2,8.1,352.0
2020-01-01 02:00:00,2.06,5.4,2.7,4.4,19.0,68.0,36.47,734.8,0.0,96.0,5.5,0.01,11.26,5.5,352.0
2020-01-01 03:00:00,1.96,5.4,2.7,4.4,19.0,68.0,36.47,734.2,0.0,96.0,5.4,0.01,11.35,3.8,352.0
2020-01-01 04:00:00,1.98,5.4,2.7,4.4,16.0,48.0,33.59,733.9,0.0,96.0,5.5,0.01,11.47,3.3,352.0
2020-01-01 05:00:00,2.06,5.4,2.7,4.4,13.0,42.0,33.42,733.8,0.02,96.0,5.4,0.01,11.69,3.5,352.0
2020-01-01 06:00:00,1.94,5.4,2.7,4.4,15.0,38.0,20.2,733.8,0.1,96.0,5.4,0.01,11.71,2.9,352.0
2020-01-01 07:00:00,2.06,5.4,2.7,4.4,10.0,33.0,23.84,733.6,0.06,96.0,5.45,0.01,11.84,3.8,352.0
2020-01-01 08:00:00,1.94,5.4,2.7,4.4,12.0,36.0,15.65,733.6,0.02,95.5,5.475,0.012,11.89,3.0,352.0
2020-01-01 09:00:00,2.03,5.4,2.7,4.4,7.0,21.0,21.95,734.3,0.04,95.25,5.4875,0.021,12.29,11.2,352.0
2020-01-01 10:00:00,2.04,5.4,2.7,4.4,8.0,35.0,28.25,734.5,0.06,95.125,5.49375,0.041,12.82,13.0,352.0
2020-01-01 11:00:00,1.98,5.4,2.7,4.4,9.0,37.0,20.68,734.4,0.04,95.0625,5.496875,0.074,13.58,4.4,352.0
2020-01-01 12:00:00,1.97,5.4,2.7,4.4,10.0,31.0,15.39,733.6,0.02,95.0,5.4984375,0.103,14.67,6.3,352.0
2020-01-01 13:00:00,2.07,5.4,2.7,4.4,8.0,28.0,15.13,732.6,0.02,95.0,5.5,0.074,15.35,7.6,352.0
2020-01-01 14:00:00,1.9,5.4,2.7,4.4,16.0,26.0,11.15,731.7,0.0,93.0,5.4,0.07,15.45,10.5,352.0
2020-01-01 15:00:00,1.78,5.4,2.7,4.4,25.0,21.0,4.98,730.7,0.0,86.0,5.4,0.046,15.62,15.9,352.0
2020-01-01 16:00:00,1.78,5.4,2.7,4.4,24.0,15.0,3.68,730.8,0.02,83.0,5.3,0.019,15.63,16.6,352.0
2020-01-01 17:00:00,1.81,5.4,2.7,4.4,24.0,10.0,5.25,731.2,0.11,89.0,5.3,0.022,14.56,10.3,352.0
2020-01-01 18:00:00,1.76,5.4,2.7,4.4,27.0,9.0,3.58,731.1,0.04,89.0,5.35,0.016,14.22,17.7,352.0
2020-01-01 19:00:00,1.79,5.4,2.7,4.4,26.0,14.0,3.66,731.1,0.04,87.0,5.375,0.01,14.22,13.2,352.0
2020-01-01 20:00:00,1.84,5.4,2.7,4.4,21.0,9.0,4.49,731.4,0.06,89.0,5.4,0.01,13.84,9.1,352.0
2020-01-01 21:00:00,1.76,5.4,2.7,4.4,28.0,10.0,3.02,731.4,0.07,89.0,5.3,0.01,13.6,13.3,352.0
2020-01-01 22:00:00,1.71,5.4,2.7,4.4,32.0,10.0,2.15,731.0,0.06,86.0,5.2,0.01,13.64,14.1,352.0
2020-01-01 23:00:00,1.71,5.4,2.7,4.4,30.0,9.0,2.23,730.5,0.0,84.0,5.2,0.01,13.66,9.5,352.0
2020-01-02 00:00:00,1.74,5.4,2.7,4.4,27.0,10.0,2.27,729.8,0.0,83.0,5.3,0.009,13.68,10.1,352.0
2020-01-02 01:00:00,1.7,5.4,2.7,4.4,30.0,7.0,2.29,729.2,0.0,79.0,5.4,0.008,14.28,12.5,352.0
2020-01-02 02:00:00,1.72,5.4,2.7,4.4,26.0,3.0,2.31,728.2,0.0,80.0,5.2,0.008,14.41,15.2,352.0
2020-01-02 03:00:00,1.68,5.4,2.7,4.4,27.0,9.0,2.28,728.0,0.0,73.0,5.3,0.007,15.09,18.2,352.0
2020-01-02 04:00:00,1.66,5.4,2.7,4.4,29.0,10.0,2.32,727.5,0.0,71.0,5.3,0.007,15.04,16.3,352.0
2020-01-02 05:00:00,1.66,5.4,2.7,4.4,33.0,12.0,2.18,726.9,0.0,69.0,5.35,0.007,14.91,14.4,352.0
2020-01-02 06:00:00,1.72,5.4,2.7,4.4,24.0,15.0,2.85,726.5,0.0,74.0,5.375,0.007,14.02,12.2,352.0
2020-01-02 07:00:00,1.81,5.4,2.7,4.4,7.0,17.0,3.62,726.3,0.0,83.0,5.3875,0.01,12.78,7.9,352.0
2020-01-02 08:00:00,1.85,5.4,2.7,4.4,9.0,20.0,3.91,726.2,0.0,83.0,5.393750000000001,0.011,13.09,11.3,352.0
2020-01-02 09:00:00,2.12,5.4,2.7,4.4,5.0,16.0,4.63,726.4,0.0,80.0,5.4,0.082,14.31,7.7,352.0
2020-01-02 10:00:00,2.18,5.4,2.7,4.4,7.0,23.0,5.45,726.8,0.0,77.0,5.4,0.072,15.34,5.1,352.0
2020-01-02 11:00:00,2.06,5.4,2.7,4.4,22.0,19.0,4.86,727.8,0.0,62.0,5.35,0.342,19.27,9.5,352.0
2020-01-02 12:00:00,1.91,5.4,2.7,4.4,28.0,24.0,4.55,727.4,0.0,57.0,5.324999999999999,0.431,21.89,11.6,352.0
2020-01-02 13:00:00,1.85,5.4,2.7,4.4,30.0,21.0,3.65,726.2,0.0,51.0,5.3125,0.401,23.01,15.9,352.0
2020-01-02 14:00:00,1.88,5.4,2.7,4.4,34.0,21.0,3.62,725.8,0.0,42.0,5.30625,0.312,24.32,11.7,352.0
