date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2020-01-01 00:00:00,2.5,1.0,2.3,1.8,8.0,42.0,37.0,715.0,0.0,89.0,3.4,0.0,10.36,0.6,136.0
2020-01-01 01:00:00,2.5,1.0,2.3,1.8,8.0,42.0,37.0,715.0,0.0,89.0,3.4,0.0,10.36,0.6,136.0
2020-01-01 02:00:00,2.59,1.0,2.3,1.8,10.0,43.0,42.0,714.6,0.0,89.0,3.3,0.0,10.4,0.6,111.0
2020-01-01 03:00:00,2.6,1.0,2.3,1.8,7.0,47.0,36.0,714.5,0.0,89.0,3.1,0.0,10.55,0.6,301.0
2020-01-01 04:00:00,2.71,1.0,2.3,1.8,3.0,50.0,47.0,714.2,0.01,89.0,2.9,0.0,10.71,0.6499999999999999,117.0
2020-01-01 05:00:00,2.67,1.0,2.3,1.8,3.0,53.0,44.0,714.2,0.01,89.0,2.8,0.0,10.75,0.6749999999999999,100.0
2020-01-01 06:00:00,2.59,1.0,2.3,1.8,3.0,54.0,46.0,714.2,0.0,89.0,2.7,0.0,10.81,0.6875,228.0
2020-01-01 07:00:00,2.61,1.0,2.3,1.8,2.5,55.0,45.0,714.1,0.02,89.0,2.6,0.0,10.93,0.69375,278.0
2020-01-01 08:00:00,2.7,1.0,2.3,1.8,2.0,50.0,39.0,714.2,0.01,88.5,2.6,0.002,11.07,0.6968749999999999,120.0
2020-01-01 09:00:00,2.68,1.0,2.3,1.8,3.0,57.0,38.0,714.6,0.06,88.25,2.7,0.012,11.42,0.6984374999999999,227.0
2020-01-01 10:00:00,2.75,1.0,2.3,1.8,4.0,52.0,39.0,714.7,0.08,88.0,2.9,0.035,11.79,0.69921875,255.0
2020-01-01 11:00:00,2.8,1.0,2.3,1.8,5.0,50.0,45.0,714.7,0.08,88.0,3.1,0.065,12.32,0.699609375,262.0
2020-01-01 12:00:00,2.56,1.0,2.3,1.8,7.0,52.0,28.0,714.3,0.04,88.0,2.9,0.086,13.26,0.6998046874999999,276.0
