date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2020-01-01 00:00:00,0.87,0.5,0.5,0.6,2.0,63.0,59.26,702.1,0.0,91.0,6.7,0.0,10.03,5.6,3.0
2020-01-01 01:00:00,0.87,0.5,0.5,0.6,2.0,60.5,51.43,702.1,0.0,91.0,6.7,0.0,10.03,5.6,3.0
2020-01-01 02:00:00,0.87,0.5,0.5,0.6,2.0,58.0,50.88,702.1,0.0,91.0,6.7,0.0,10.03,5.6,3.0
2020-01-01 03:00:00,0.84,0.5,0.5,0.6,2.0,57.0,47.99,701.9,0.0,90.0,6.5,0.0,10.23,6.2,3.0
2020-01-01 04:00:00,0.9,0.5,0.5,0.6499999999999999,2.0,46.0,50.855000000000004,701.4,0.0,89.0,6.9,0.0,10.23,1.8,3.0
2020-01-01 05:00:00,0.85,0.5,0.5,0.6749999999999999,2.5,46.0,52.2875,701.3,0.0,90.0,6.7,0.0,10.28,1.6,3.0
2020-01-01 06:00:00,0.89,0.5,0.5,0.6875,2.75,55.0,53.72,701.3,0.0,90.0,6.7,0.0,10.29,2.0,3.0
2020-01-01 07:00:00,0.87,0.5,0.5,0.69375,2.875,52.0,51.885,701.2,0.02,90.0,7.0,0.001,10.34,2.2,3.0
2020-01-01 08:00:00,0.88,0.5,0.5,0.7,2.9375,56.0,50.05,701.3,0.02,90.0,7.4,0.005,10.63,3.9,3.0
2020-01-01 09:00:00,0.78,0.5,0.5,0.7,2.96875,53.0,45.04,702.2,0.09,90.0,7.3,0.017,10.98,3.2,3.0
2020-01-01 10:00:00,0.9,0.5,0.5,0.6,2.984375,53.0,48.76,702.5,0.1,91.0,7.6,0.037,11.32,1.8,3.0
2020-01-01 11:00:00,0.9,0.5,0.5,0.7,2.9921875,60.0,48.8,702.3,0.11,91.0,8.6,0.056,11.84,2.3,3.0
2020-01-01 12:00:00,0.91,0.5,0.5,0.7,2.99609375,56.0,41.13,701.6,0.07,91.0,9.0,0.075,12.74,2.3,3.0
2020-01-01 13:00:00,0.71,0.5,0.5,0.6,2.998046875,45.0,25.16,700.9,0.07,92.0,9.2,0.095,13.7,7.5,3.0
2020-01-01 14:00:00,0.49,0.5,0.5,0.6,2.9990234375,40.0,14.3,699.8,0.03,90.0,7.7,0.105,13.95,6.8,3.0
2020-01-01 15:00:00,0.53,0.5,0.5,0.7,2.99951171875,27.0,14.14,699.0,0.02,89.0,7.6,0.05,13.86,4.4,3.0
2020-01-01 16:00:00,0.41,0.5,0.5,0.7,2.999755859375,22.0,7.85,699.0,0.06,85.0,7.9,0.032,13.49,15.1,3.0
2020-01-01 17:00:00,0.34,0.5,0.5,0.6499999999999999,2.9998779296875,16.0,3.43,699.3,0.08,82.0,7.6,0.026,13.22,14.6,3.0
2020-01-01 18:00:00,0.35,0.5,0.5,0.625,2.99993896484375,12.0,3.92,699.3,0.06,82.0,7.9,0.006,13.08,11.0,3.0
2020-01-01 19:00:00,0.37,0.5,0.5,0.6125,2.999969482421875,12.0,4.17,699.1,0.05,80.0,9.2,0.0,12.83,8.2,3.0
2020-01-01 20:00:00,0.38,0.5,0.5,0.60625,2.9999847412109375,12.0,5.09,699.5,0.08,80.0,8.7,0.0,12.67,9.0,3.0
2020-01-01 21:00:00,0.51,0.5,0.5,0.6,2.9999923706054688,15.0,12.27,699.5,0.06,84.0,8.0,0.0,11.93,3.4,3.0
2020-01-01 22:00:00,0.45,0.5,0.5,0.6499999999999999,2.9999961853027344,16.0,5.13,699.1,0.03,84.0,7.2,0.0,12.02,4.8,3.0
2020-01-01 23:00:00,0.41,0.5,0.5,0.7,2.999998092651367,15.0,3.38,698.6,0.01,80.0,7.5,0.0,12.13,5.0,3.0
2020-01-02 00:00:00,0.45,0.5,0.5,0.7,2.9999990463256836,11.0,3.59,698.1,0.02,81.0,6.9,0.0,11.75,1.3,3.0
2020-01-02 01:00:00,0.3,0.5,0.5,0.6,2.999999523162842,6.0,2.24,697.3,0.01,82.0,6.4,0.0,11.97,7.0,3.0
2020-01-02 02:00:00,0.31,0.5,0.5,0.6,2.999999761581421,3.0,2.95,696.4,0.01,83.0,6.4,0.0,11.47,3.0,3.0
2020-01-02 03:00:00,0.27,0.5,0.5,0.6,2.9999998807907104,4.0,3.25,696.4,0.0,80.0,6.5,0.0,12.22,8.1,3.0
2020-01-02 04:00:00,0.26,0.5,0.5,0.6,2.9999999403953552,6.0,2.46,695.7,0.0,74.0,6.3,0.0,12.78,10.5,3.0
2020-01-02 05:00:00,0.28,0.5,0.5,0.6,2.9999999701976776,9.0,3.84,695.2,0.0,76.0,6.5,0.0,12.02,6.0,3.0
2020-01-02 06:00:00,0.44,0.5,0.5,0.6499999999999999,2.999999985098839,13.0,3.91,694.8,0.0,79.0,6.3,0.0,11.5,1.5,3.0
2020-01-02 07:00:00,0.6,0.5,0.5,0.6749999999999999,2.9999999925494194,12.0,5.45,694.7,0.0,81.0,6.0,0.0,11.55,3.7,3.0
2020-01-02 08:00:00,0.92,0.5,0.5,0.6875,2.9999999962747097,10.0,6.78,694.6,0.0,80.0,6.1,0.006,11.89,4.3,3.0
2020-01-02 09:00:00,0.81,0.5,0.5,0.7,2.999999998137355,14.0,5.72,694.8,0.0,77.0,7.0,0.092,13.44,4.5,3.0
2020-01-02 10:00:00,0.47,0.5,0.5,0.8,3.0,13.0,3.905,694.8,0.0,67.0,7.2,0.22,16.32,5.9,3.0
2020-01-02 11:00:00,0.52,0.5,0.5,0.8,2.0,15.0,2.9974999999999996,694.8,0.0,59.0,7.8,0.251,19.34,6.8,3.0
2020-01-02 12:00:00,0.53,0.5,0.5,0.9,2.0,16.0,2.09,693.7,0.0,47.0,7.8,0.552,21.25,10.8,3.0
2020-01-02 13:00:00,0.52,0.5,0.5,0.9,3.0,12.0,3.59,692.8,0.0,32.0,6.7,0.379,22.81,10.2,3.0
2020-01-02 14:00:00,0.59,0.5,0.5,0.95,2.0,34.0,4.1,692.0,0.0,26.0,7.2,0.475,24.1,6.7,3.0
2020-01-02 15:00:00,0.6,0.5,0.5,1.0,2.0,29.0,4.37,691.5,0.0,23.0,7.2,0.567,25.08,12.4,3.0
2020-01-02 16:00:00,0.6,0.5,0.5,0.9,2.0,39.0,4.8,691.6,0.0,27.0,7.7,0.417,23.92,18.0,3.0
2020-01-02 17:00:00,0.61,0.5,0.5,1.0,2.5,59.0,4.15,692.0,0.0,29.0,8.3,0.21,23.82,12.4,3.0
2020-01-02 18:00:00,0.66,0.5,0.5,0.8,2.75,28.0,4.7,692.6,0.0,32.0,8.7,0.014,21.86,7.6,3.0
2020-01-02 19:00:00,1.43,0.5,0.5,0.9,2.875,30.0,10.88,693.5,0.0,43.0,8.1,0.0,19.55,3.1,3.0
2020-01-02 20:00:00,1.08,0.5,0.5,0.8,2.9375,57.0,11.67,694.3,0.0,41.0,8.6,0.0,18.68,4.0,3.0
2020-01-02 21:00:00,1.59,0.5,0.5,0.9,2.96875,55.0,22.79,694.7,0.0,48.0,8.3,0.0,16.72,3.2,3.0
2020-01-02 22:00:00,1.67,0.5,0.5,0.8,2.984375,66.0,30.67,695.3,0.0,54.0,8.6,0.0,15.48,3.4,3.0
2020-01-02 23:00:00,1.77,0.5,0.5,0.7,2.9921875,112.0,38.38,695.6,0.0,63.0,9.2,0.0,14.0,2.9,3.0
2020-01-03 00:00:00,1.57,0.5,0.5,0.7,2.99609375,147.0,27.18,696.0,0.0,62.0,9.3,0.0,14.01,4.0,3.0
2020-01-03 01:00:00,1.11,0.5,0.5,0.8,3.0,104.0,13.61,696.4,0.0,59.0,8.3,0.0,14.24,2.8,3.0
2020-01-03 02:00:00,0.59,0.5,0.5,0.9,3.0,60.0,10.06,696.9,0.0,51.0,7.6,0.0,15.48,10.4,3.0
2020-01-03 03:00:00,0.46,0.5,0.5,0.9,2.0,26.0,3.85,697.0,0.0,45.0,8.5,0.0,16.2,7.4,3.0
2020-01-03 04:00:00,0.44,0.5,0.5,0.7,3.0,18.0,3.42,697.5,0.0,44.0,8.0,0.0,16.27,13.3,3.0
2020-01-03 05:00:00,0.44,0.5,0.5,0.9,2.0,13.0,4.0,698.1,0.0,45.0,7.6,0.0,15.7,13.6,3.0
2020-01-03 06:00:00,0.46,0.5,0.5,0.9,3.0,14.0,3.75,698.4,0.0,45.0,8.3,0.0,15.46,13.1,3.0
2020-01-03 07:00:00,0.5,0.5,0.5,0.8500000000000001,2.0,15.0,4.04,698.9,0.0,45.0,8.5,0.0,15.19,14.0,3.0
2020-01-03 08:00:00,0.83,0.5,0.5,0.8,3.0,14.0,3.79,699.6,0.0,45.0,6.6,0.004,15.17,16.8,3.0
2020-01-03 09:00:00,0.65,0.5,0.5,0.8,2.0,14.0,4.04,700.8,0.0,42.0,8.1,0.162,16.25,13.5,3.0
2020-01-03 10:00:00,0.59,0.5,0.5,0.7,2.0,17.0,4.43,701.7,0.0,37.0,8.6,0.329,17.12,23.3,3.0
2020-01-03 11:00:00,0.56,0.5,0.5,0.9,2.0,58.0,4.03,702.5,0.0,37.0,7.9,0.296,17.16,27.4,3.0
2020-01-03 12:00:00,0.57,0.5,0.5,0.7,2.0,71.0,4.07,703.0,0.0,38.0,7.7,0.233,16.38,28.4,3.0
2020-01-03 13:00:00,0.55,0.5,0.5,0.9,2.0,49.0,4.63,702.8,0.0,38.0,8.1,0.14,16.03,28.4,3.0
2020-01-03 14:00:00,0.59,0.5,0.5,0.8,2.0,53.0,5.16,702.3,0.0,33.0,8.3,0.523,16.99,31.5,3.0
2020-01-03 15:00:00,0.59,0.5,0.5,0.9,2.0,73.0,3.86,702.2,0.0,28.0,8.1,0.53,17.77,28.3,3.0
2020-01-03 16:00:00,0.61,0.5,0.5,0.9,2.0,39.0,3.48,702.3,0.0,26.0,8.0,0.409,18.09,26.1,3.0
2020-01-03 17:00:00,0.62,0.5,0.5,0.8,2.0,23.0,3.08,702.9,0.0,25.0,8.4,0.223,17.99,23.5,3.0
2020-01-03 18:00:00,0.66,0.5,0.5,0.75,2.0,19.0,3.68,703.8,0.0,26.0,8.3,0.012,17.11,16.2,3.0
2020-01-03 19:00:00,0.69,0.5,0.5,0.7,2.0,16.0,6.67,704.9,0.0,29.0,8.1,0.0,16.2,13.5,3.0
2020-01-03 20:00:00,0.69,0.5,0.5,0.9,2.0,27.0,4.71,705.7,0.0,32.0,7.7,0.0,15.18,14.3,3.0
2020-01-03 21:00:00,0.6,0.5,0.5,0.8,2.0,22.0,3.93,706.2,0.0,31.0,8.7,0.0,15.26,17.6,3.0
2020-01-03 22:00:00,0.61,0.5,0.5,0.8,2.0,18.0,4.47,706.7,0.0,32.0,8.8,0.0,14.75,14.5,3.0
2020-01-03 23:00:00,0.59,0.5,0.5,0.8,2.0,15.0,4.56,707.6,0.0,35.0,8.9,0.0,13.82,12.3,3.0
2020-01-04 00:00:00,0.57,0.5,0.5,0.8,2.0,16.0,4.37,708.2,0.0,35.0,9.5,0.0,13.38,9.1,3.0
2020-01-04 01:00:00,0.61,0.5,0.5,0.8,2.0,18.0,8.08,708.7,0.0,38.0,11.2,0.0,12.52,6.6,3.0
2020-01-04 02:00:00,0.68,0.5,0.5,0.7,2.0,34.0,7.65,708.9,0.0,41.0,9.2,0.0,11.5,6.0,1.0
2020-01-04 03:00:00,0.64,0.5,0.5,0.7,2.0,14.0,7.1,709.2,0.0,43.0,9.7,0.0,10.71,3.7,4.0
2020-01-04 04:00:00,0.64,0.5,0.5,0.7,2.0,13.0,7.27,709.4,0.0,49.0,9.1,0.0,9.33,3.0,13.0
2020-01-04 05:00:00,0.59,0.5,0.5,0.6,2.0,21.0,7.55,709.6,0.0,51.0,9.1,0.0,8.99,2.3,4.0
2020-01-04 06:00:00,0.78,0.5,0.5,0.6,2.0,24.0,8.45,710.1,0.0,54.0,8.8,0.0,7.7,1.2,10.0
2020-01-04 07:00:00,1.28,0.5,0.5,0.75,2.0,17.0,13.12,710.4000000000001,0.0,53.5,9.350000000000001,0.012,8.175,2.15,6.5
2020-01-04 08:00:00,1.78,0.5,0.5,0.9,2.0,10.0,9.705,710.7,0.0,53.0,9.9,0.024,8.65,3.1,3.0
2020-01-04 09:00:00,2.15,0.5,0.5,0.8,2.0,73.5,7.9975000000000005,711.4,0.0,48.0,10.3,0.156,11.89,0.9,3.0
2020-01-04 10:00:00,1.18,0.5,0.5,0.9,2.0,137.0,7.143750000000001,711.7,0.0,31.0,9.4,0.323,16.76,1.2,4.0
2020-01-04 11:00:00,0.76,0.5,0.5,0.9,2.5,101.0,6.716875,711.6,0.0,26.0,9.6,0.199,18.36,2.0,5.0
2020-01-04 12:00:00,0.65,0.5,0.5,0.9,2.75,28.0,6.5034375,711.0,0.0,27.0,8.6,0.561,18.2,3.6,18.0
2020-01-04 13:00:00,0.73,0.5,0.5,0.8,2.875,40.0,6.39671875,710.4,0.0,28.0,7.2,0.59,18.18,5.8,16.0
2020-01-04 14:00:00,0.71,0.5,0.5,0.8,2.9375,53.0,6.343359375,709.6,0.0,29.0,8.5,0.58,18.21,7.7,8.0
2020-01-04 15:00:00,0.75,0.5,0.5,0.9,2.96875,42.0,6.316679687500001,708.9,0.0,27.0,9.5,0.508,19.21,6.1,8.0
2020-01-04 16:00:00,0.73,0.5,0.5,0.9,2.984375,44.0,6.303339843750001,708.5,0.0,27.0,9.2,0.382,19.47,6.4,7.0
2020-01-04 17:00:00,0.82,0.5,0.5,0.9,2.9921875,42.0,6.296669921875001,708.7,0.0,30.0,9.2,0.196,18.83,7.1,9.0
2020-01-04 18:00:00,0.96,0.5,0.5,0.8,2.99609375,39.0,6.2933349609375,709.0,0.0,36.0,9.3,0.015,16.74,4.5,24.0
2020-01-04 19:00:00,1.22,0.5,0.5,0.8,2.998046875,40.0,6.29166748046875,709.3,0.0,38.0,9.4,0.0,15.62,3.7,16.0
2020-01-04 20:00:00,1.69,0.5,0.5,0.8,2.9990234375,54.0,6.290833740234374,709.6,0.0,44.0,9.7,0.0,14.08,2.0,19.0
2020-01-04 21:00:00,1.98,0.5,0.5,0.7,2.99951171875,87.0,6.290416870117188,709.9,0.0,53.0,9.8,0.0,12.46,1.8,3.0
2020-01-04 22:00:00,1.85,0.5,0.5,0.7,2.999755859375,137.0,6.290208435058593,710.1,0.0,57.0,9.3,0.0,11.31,1.2,4.0
2020-01-04 23:00:00,1.95,0.5,0.5,0.7,2.9998779296875,140.0,6.290104217529297,710.2,0.0,59.0,9.3,0.0,10.64,1.8,4.0
2020-01-05 00:00:00,1.9,0.5,0.5,0.6,2.99993896484375,140.0,6.290052108764648,710.2,0.0,60.0,9.7,0.0,10.19,1.8,3.0
2020-01-05 01:00:00,1.64,0.5,0.5,0.7,2.999969482421875,136.0,6.290026054382324,710.1,0.0,61.0,9.4,0.0,9.67,1.7,3.0
2020-01-05 02:00:00,1.51,0.5,0.5,0.6,2.9999847412109375,98.0,6.290013027191161,709.9,0.0,62.0,9.5,0.0,9.32,1.7,3.0
2020-01-05 03:00:00,0.91,0.5,0.5,0.6,2.9999923706054688,79.0,6.29000651359558,709.6,0.0,61.0,9.4,0.0,8.88,4.0,3.5
2020-01-05 04:00:00,0.86,0.5,0.5,0.6,2.9999961853027344,60.0,6.290003256797791,709.5,0.0,62.0,9.2,0.0,7.96,1.6,3.75
2020-01-05 05:00:00,0.87,0.5,0.5,0.6,2.999998092651367,56.0,6.290001628398896,709.4,0.0,62.0,9.1,0.0,7.72,1.4,4.0
