date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,Class
2020-12-01,0.24,0.5,27.0,34.1,2.0,43.29166666666666,16.455416666666668,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-02,0.24,0.5,27.0,34.1,2.0,73.85416666666667,22.91145833333333,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-03,0.24,0.5,27.0,34.1,2.0,38.458333333333336,7.538958333333333,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-04,0.24,0.5,27.0,34.1,2.0,37.75,12.262083333333337,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-05,0.24,0.5,27.0,34.1,2.0,52.04166666666666,23.9646875,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-06,0.24,0.5,27.0,34.1,2.0,62.54166666666666,24.414375,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-07,0.24,0.5,27.0,34.1,2.0,62.75,20.9490625,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-08,0.24,0.5,27.0,34.1,2.0,67.625,23.63927083333333,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-09,0.24,0.5,27.0,34.1,2.0,82.41666666666667,35.18239677588145,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,1
2020-12-10,0.24,0.5,27.0,34.1,2.0,90.16666666666669,34.26979166666667,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,1
2020-12-11,0.24,0.5,27.0,34.1,2.0,81.36458333333333,28.808958333333333,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-12,0.24,0.5,27.0,34.1,2.0,55.958333333333336,26.425416666666667,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-13,0.24,0.5,27.0,34.1,2.0,50.364583333333336,20.940625,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-14,0.24,0.5,27.0,34.1,2.0,114.02083333333331,19.44125,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-15,0.24,0.5,27.0,34.1,2.0,92.7890625,21.782916666666665,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-16,0.24,0.5,27.0,34.1,2.0,63.59375,15.578229166666668,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-17,0.24,0.5,27.0,34.1,2.0,98.83333333333331,26.52656819661458,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-18,0.24,0.5,27.0,34.1,2.0,64.625,25.24175282796224,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-19,0.24,0.5,27.0,34.1,2.0,69.421875,25.9975,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-20,0.24,0.5,27.0,34.1,2.0,56.10416666666666,18.563333333333333,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-21,0.24,0.5,27.0,34.1,2.0,80.07291666666667,20.459166666666665,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-22,0.24,0.5,27.0,34.1,2.0,69.26458333333333,24.07208333333333,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-23,0.24,0.5,27.0,34.1,2.0,93.07958333333332,29.555833333333336,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-24,0.24,0.5,27.0,34.1,2.0,84.75786458333333,17.35770833333333,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-25,0.24,0.5,27.0,34.1,2.0,100.123125,41.54926432291666,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,1
2020-12-26,0.24,0.5,27.0,34.1,2.0,70.71583333333334,21.834166666666665,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-27,0.24,0.5,27.0,34.1,2.0,106.691875,39.9925,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,1
2020-12-28,0.24,0.5,27.0,34.1,2.0,43.755208333333336,23.570833333333336,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-29,0.24,0.5,27.0,34.1,2.0,64.40041666666667,28.829791666666665,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-30,0.24,0.5,27.0,34.1,2.0,66.46,26.731666666666666,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2020-12-31,0.24,0.5,27.0,34.1,2.0,43.87708333333333,13.117916666666666,709.9,0.0,28.0,1.1,0.0,32.64999999999999,7.0,20.0,0
2021-12-01,0.7504166666666666,13.957291666666665,23.697916666666668,41.1625,20.34895833333333,67.33333333333333,14.359166666666669,719.5291666666667,0.0,64.72916666666667,2.935416666666667,0.0,20.92833333333333,5.1625000000000005,169.0,0
2021-12-02,0.8991666666666666,24.579166666666666,26.825,51.15,20.375,81.45833333333333,19.149166666666662,719.8041666666667,0.0,60.208333333333336,3.295833333333333,0.0,22.73125,6.291666666666667,141.70833333333334,0
2021-12-03,0.9441666666666668,14.202083333333334,23.576822916666668,38.596875,23.08333333333333,69.66666666666667,16.907916666666665,717.8291666666668,0.0,64.08333333333333,2.9479166666666665,0.0,23.246666666666663,5.3125,187.25,0
2021-12-04,1.0304166666666668,25.571875,24.938671875,49.99114583333333,21.209635416666668,82.97916666666667,22.4075,717.1541666666667,0.0,60.208333333333336,3.7083333333333335,0.0,23.27333333333333,5.608333333333333,179.33333333333334,0
2021-12-05,0.8116666666666666,7.20625,17.547916666666666,24.825,19.1875,69.3125,24.659166666666668,715.1291666666666,0.0,73.4375,2.5494791666666665,0.0,21.319791666666667,5.379166666666666,127.0,0
2021-12-06,0.9558333333333334,21.820833333333336,19.91875,43.59583333333333,15.95849609375,101.6875,25.692916666666665,716.75,0.0,61.125,2.7583333333333333,0.0,20.91875,6.6875,185.91666666666663,0
2021-12-07,0.6989583333333332,15.202083333333334,21.4625,36.69791666666666,21.125,72.1875,13.691249999999998,717.4145833333333,0.0,38.29166666666666,3.28125,0.0,17.778333333333332,5.7125,110.77083333333331,0
2021-12-08,1.378125,36.79296875,30.85234375,70.15260416666666,21.08349609375,109.125,27.123088989257813,716.2125,0.0,52.083333333333336,4.685416666666667,0.0,19.9375,4.754166666666666,213.25,0
2021-12-09,1.4563802083333333,33.046875,38.16432291666667,73.37656249999999,24.156901041666668,121.45833333333331,36.226248067220055,714.4916666666667,0.0,52.91666666666666,3.90625,0.0,22.945000000000004,4.5625,200.58333333333331,1
2021-12-10,1.5448828125,46.753125,39.404475911458334,87.62252604166667,12.385416666666666,125.68229166666669,35.0075,711.9791666666666,0.0,41.66666666666666,4.595833333333333,0.0,23.547083333333333,5.2250000000000005,211.91666666666663,1
2021-12-11,0.6207291666666667,20.21966145833333,15.247835286458333,34.37063802083333,23.58333333333333,98.00520833333331,17.968333333333334,717.7916666666666,0.0,29.75,3.1417968750000003,0.0,20.504583333333333,11.283333333333331,166.625,0
2021-12-12,0.3945833333333333,6.216666666666666,15.441666666666668,21.7375,26.541666666666668,42.91666666666666,10.3125,721.9833333333332,0.0,29.20833333333333,4.439583333333333,-0.0001666666666666,13.920833333333334,7.016666666666667,113.625,0
2021-12-13,1.2385416666666669,33.1328125,33.592708333333334,61.753125,17.541666666666668,80.0,21.349166666666665,720.7958333333332,0.0,33.625,4.654166666666667,0.0,16.81833333333333,3.75,191.66666666666663,0
2021-12-14,1.3136458333333334,38.05286458333333,30.441666666666663,62.86731770833333,18.09375,102.625,25.97895833333333,720.2583333333333,0.0,62.625,3.382454427083333,0.0,19.10083333333333,4.583333333333333,221.875,0
2021-12-15,0.9303125,18.344791666666666,19.510416666666668,37.81614583333333,17.416666666666668,71.41666666666667,18.42333333333333,717.3791666666666,0.0,70.125,1.3008789061976131,0.0,21.51833333333333,5.095833333333333,150.25,0
2021-12-16,1.2213020833333337,37.028645833333336,24.140104166666664,62.227864583333336,18.90625,78.16041666666666,25.80333333333333,715.475,0.0,65.08333333333333,2.270833333385669,0.0,21.684166666666663,5.304166666666666,205.625,0
2021-12-17,1.063697916666667,18.279166666666665,21.84453125,37.540625,17.3125,77.52083333333333,22.084166666666665,714.3833333333333,0.0,68.58333333333333,2.5406575520833337,0.0,21.149166666666662,4.941666666666666,146.20833333333334,0
2021-12-18,1.46947265625,41.57604166666667,32.40408121744792,66.97257486979167,15.446614583333334,120.26041666666669,32.43333333333333,715.5500000000001,0.0,57.54166666666666,2.5453125,0.0,22.004166666666663,6.466666666666666,160.5,1
2021-12-19,0.3575,4.454166666666667,8.816666666666666,13.370833333333332,18.83333333333333,26.541666666666668,6.744583333333334,722.0625,0.0,70.70833333333333,1.8416666348775228,0.0009166666666666,10.529583333333331,8.004166666666666,56.75,0
2021-12-20,0.6785416666666667,12.35625,17.685416666666665,29.90625,13.5,46.25,12.856666666666667,720.3874999999999,0.0,69.83333333333333,2.0315104444821674,0.0,13.123333333333331,6.479166666666667,104.97916666666669,0
2021-12-21,1.4943229166666667,54.28385416666666,29.00520833333333,82.06067708333333,14.1875,104.35416666666669,31.288541666666664,719.3145833333333,0.0,59.375,2.9166666666666665,0.0,16.315625,4.675,191.33333333333331,1
2021-12-22,1.3909375,43.86002604166666,32.39270833333333,80.97128906249999,15.625,93.35416666666669,14.19791370709737,717.7833333333333,0.0,43.16666666666666,4.354166666666667,0.0,18.889166666666668,4.8,181.08333333333331,0
2021-12-23,1.25453125,42.42447916666666,32.239583333333336,69.31953125,18.9296875,98.08333333333331,25.52125,717.6333333333333,0.0,48.958333333333336,4.3,0.0,19.747916666666665,5.0375000000000005,209.75,0
2021-12-24,1.5943229166666668,34.78932291666667,28.32421875,68.28463541666666,18.70833333333333,107.10416666666669,32.43354166666666,715.025,0.0,59.083333333333336,4.325,0.0,20.800416666666667,5.3500000000000005,217.79166666666663,1
2021-12-25,1.6269270833333334,26.52083333333333,24.449739583333336,54.37083333333334,22.916666666666668,101.18229166666669,34.206572265625,714.4458333333333,0.0,50.75,4.7875000000000005,0.0,24.02208333333333,5.1000000000000005,226.95833333333331,1
